doc_id,origin,title,normalized_title,source_url,source_slug,fallback_slug,canonical_slug,section_or_category,local_path
new:builder/elements/general/facebook-page,preview,Facebook page,facebook page,https://academy-preview.bricksbuilder.io/builder/elements/general/facebook-page/,facebook-page,facebook-page,facebook-page,builder/elements,
new:builder/elements/general/form,preview,Form,form,https://academy-preview.bricksbuilder.io/builder/elements/general/form/,form,form,form,builder/elements,
new:builder/elements/general/html,preview,HTML,html,https://academy-preview.bricksbuilder.io/builder/elements/general/html/,html,html,html,builder/elements,
new:builder/elements/general/icon-box,preview,Icon box,icon box,https://academy-preview.bricksbuilder.io/builder/elements/general/icon-box/,icon-box,icon-box,icon-box,builder/elements,
new:builder/elements/general/icon-list,preview,Icon list,icon list,https://academy-preview.bricksbuilder.io/builder/elements/general/icon-list/,icon-list,icon-list,icon-list,builder/elements,
new:builder/elements/general/map-connector,preview,Map Connector,map connector,https://academy-preview.bricksbuilder.io/builder/elements/general/map-connector/,map-connector,map-connector,map-connector,builder/elements,
new:builder/elements/general/map-leaflet,preview,Map (Leaflet),map leaflet,https://academy-preview.bricksbuilder.io/builder/elements/general/map-leaflet/,map-leaflet,map-leaflet,map-leaflet,builder/elements,
new:builder/elements/general/map,preview,Map,map,https://academy-preview.bricksbuilder.io/builder/elements/general/map/,map,map,map,builder/elements,
new:builder/elements/general/nav-nested,preview,Nav (Nestable),nav nestable,https://academy-preview.bricksbuilder.io/builder/elements/general/nav-nested/,nav-nested,nav-nested,nav-nested,builder/elements,
new:builder/elements/general/offcanvas,preview,Offcanvas,offcanvas,https://academy-preview.bricksbuilder.io/builder/elements/general/offcanvas/,offcanvas,offcanvas,offcanvas,builder/elements,
new:builder/elements/general/pie-chart,preview,Pie chart,pie chart,https://academy-preview.bricksbuilder.io/builder/elements/general/pie-chart/,pie-chart,pie-chart,pie-chart,builder/elements,
new:builder/elements/general/pricing-tables,preview,Pricing tables,pricing tables,https://academy-preview.bricksbuilder.io/builder/elements/general/pricing-tables/,pricing-tables,pricing-tables,pricing-tables,builder/elements,
new:builder/elements/general/progress-bar,preview,Progress bar,progress bar,https://academy-preview.bricksbuilder.io/builder/elements/general/progress-bar/,progress-bar,progress-bar,progress-bar,builder/elements,
new:builder/elements/general/rating,preview,Rating,rating,https://academy-preview.bricksbuilder.io/builder/elements/general/rating/,rating,rating,rating,builder/elements,
new:builder/elements/general/slot,preview,Slot,slot,https://academy-preview.bricksbuilder.io/builder/elements/general/slot/,slot,slot,slot,builder/elements,
new:builder/elements/general/tabs-nested,preview,Tabs (nestable),tabs nestable,https://academy-preview.bricksbuilder.io/builder/elements/general/tabs-nested/,tabs-nested,tabs-nested,tabs-nested,builder/elements,
new:builder/elements/general/tabs,preview,Tabs,tabs,https://academy-preview.bricksbuilder.io/builder/elements/general/tabs/,tabs,tabs,tabs,builder/elements,
new:builder/elements/general/team-members,preview,Team members,team members,https://academy-preview.bricksbuilder.io/builder/elements/general/team-members/,team-members,team-members,team-members,builder/elements,
new:builder/elements/general/template,preview,Template,template,https://academy-preview.bricksbuilder.io/builder/elements/general/template/,template,template,template,builder/elements,
new:builder/elements/general/testimonials,preview,Testimonials,testimonials,https://academy-preview.bricksbuilder.io/builder/elements/general/testimonials/,testimonials,testimonials,testimonials,builder/elements,
new:builder/elements/general/toggle-mode,preview,Toggle - Mode,toggle mode,https://academy-preview.bricksbuilder.io/builder/elements/general/toggle-mode/,toggle-mode,toggle-mode,toggle-mode,builder/elements,
new:builder/elements/general/toggle,preview,Toggle,toggle,https://academy-preview.bricksbuilder.io/builder/elements/general/toggle/,toggle,toggle,toggle,builder/elements,
new:builder/elements/layout/block,preview,Block,block,https://academy-preview.bricksbuilder.io/builder/elements/layout/block/,block,block,block,builder/elements,
new:builder/elements/layout/container,preview,Container,container,https://academy-preview.bricksbuilder.io/builder/elements/layout/container/,container,container,container,builder/elements,
new:builder/elements/layout/div,preview,Div,div,https://academy-preview.bricksbuilder.io/builder/elements/layout/div/,div,div,div,builder/elements,
new:builder/elements/layout/divider,preview,Divider,divider,https://academy-preview.bricksbuilder.io/builder/elements/layout/divider/,divider,divider,divider,builder/elements,
new:builder/elements/layout/list,preview,List,list,https://academy-preview.bricksbuilder.io/builder/elements/layout/list/,list,list,list,builder/elements,
new:builder/elements/layout/section,preview,Section,section,https://academy-preview.bricksbuilder.io/builder/elements/layout/section/,section,section,section,builder/elements,
new:builder/elements/media/audio,preview,Audio,audio,https://academy-preview.bricksbuilder.io/builder/elements/media/audio/,audio,audio,audio,builder/elements,
new:builder/elements/media/carousel,preview,Carousel,carousel,https://academy-preview.bricksbuilder.io/builder/elements/media/carousel/,carousel,carousel,carousel,builder/elements,
new:builder/elements/media/image-gallery,preview,Image gallery,image gallery,https://academy-preview.bricksbuilder.io/builder/elements/media/image-gallery/,image-gallery,image-gallery,image-gallery,builder/elements,
new:builder/elements/media/instagram-feed,preview,Instagram feed,instagram feed,https://academy-preview.bricksbuilder.io/builder/elements/media/instagram-feed/,instagram-feed,instagram-feed,instagram-feed,builder/elements,
new:builder/elements/media/logo,preview,Logo,logo,https://academy-preview.bricksbuilder.io/builder/elements/media/logo/,logo,logo,logo,builder/elements,
new:builder/elements/media/slider-nested,preview,Slider (nestable),slider nestable,https://academy-preview.bricksbuilder.io/builder/elements/media/slider-nested/,slider-nested,slider-nested,slider-nested,builder/elements,
new:builder/elements/media/slider,preview,Slider,slider,https://academy-preview.bricksbuilder.io/builder/elements/media/slider/,slider,slider,slider,builder/elements,
new:builder/elements/media/svg,preview,SVG,svg,https://academy-preview.bricksbuilder.io/builder/elements/media/svg/,svg,svg,svg,builder/elements,
new:builder/elements/product/product-add-to-cart,preview,Add to cart,add to cart,https://academy-preview.bricksbuilder.io/builder/elements/product/product-add-to-cart/,product-add-to-cart,product-add-to-cart,product-add-to-cart,builder/elements,
new:builder/elements/product/product-additional-information,preview,Product additional information,product additional information,https://academy-preview.bricksbuilder.io/builder/elements/product/product-additional-information/,product-additional-information,product-additional-information,product-additional-information,builder/elements,
new:builder/elements/product/product-content,preview,Product content,product content,https://academy-preview.bricksbuilder.io/builder/elements/product/product-content/,product-content,product-content,product-content,builder/elements,
new:builder/elements/product/product-gallery,preview,Product gallery,product gallery,https://academy-preview.bricksbuilder.io/builder/elements/product/product-gallery/,product-gallery,product-gallery,product-gallery,builder/elements,
new:builder/elements/product/product-meta,preview,Product meta,product meta,https://academy-preview.bricksbuilder.io/builder/elements/product/product-meta/,product-meta,product-meta,product-meta,builder/elements,
new:builder/elements/product/product-price,preview,Product price,product price,https://academy-preview.bricksbuilder.io/builder/elements/product/product-price/,product-price,product-price,product-price,builder/elements,
new:builder/elements/product/product-rating,preview,Product rating,product rating,https://academy-preview.bricksbuilder.io/builder/elements/product/product-rating/,product-rating,product-rating,product-rating,builder/elements,
new:builder/elements/product/product-related,preview,Related products,related products,https://academy-preview.bricksbuilder.io/builder/elements/product/product-related/,product-related,product-related,product-related,builder/elements,
new:builder/elements/product/product-reviews,preview,Product reviews,product reviews,https://academy-preview.bricksbuilder.io/builder/elements/product/product-reviews/,product-reviews,product-reviews,product-reviews,builder/elements,
new:builder/elements/product/product-short-description,preview,Product short description,product short description,https://academy-preview.bricksbuilder.io/builder/elements/product/product-short-description/,product-short-description,product-short-description,product-short-description,builder/elements,
new:builder/elements/product/product-stock,preview,Product stock,product stock,https://academy-preview.bricksbuilder.io/builder/elements/product/product-stock/,product-stock,product-stock,product-stock,builder/elements,
new:builder/elements/product/product-tabs,preview,Product tabs,product tabs,https://academy-preview.bricksbuilder.io/builder/elements/product/product-tabs/,product-tabs,product-tabs,product-tabs,builder/elements,
new:builder/elements/product/product-title,preview,Product title,product title,https://academy-preview.bricksbuilder.io/builder/elements/product/product-title/,product-title,product-title,product-title,builder/elements,
new:builder/elements/product/product-upsells,preview,Product up/cross-sells,product up/cross sells,https://academy-preview.bricksbuilder.io/builder/elements/product/product-upsells/,product-upsells,product-upsells,product-upsells,builder/elements,
new:builder/elements/query/query-results-summary,preview,Query results summary,query results summary,https://academy-preview.bricksbuilder.io/builder/elements/query/query-results-summary/,query-results-summary,query-results-summary,query-results-summary,builder/elements,
new:builder/elements/single/author,preview,Author,author,https://academy-preview.bricksbuilder.io/builder/elements/single/author/,author,author,author,builder/elements,
new:builder/elements/single/comments,preview,Comments,comments,https://academy-preview.bricksbuilder.io/builder/elements/single/comments/,comments,comments,comments,builder/elements,
new:builder/elements/single/excerpt,preview,Excerpt,excerpt,https://academy-preview.bricksbuilder.io/builder/elements/single/excerpt/,excerpt,excerpt,excerpt,builder/elements,
new:builder/elements/single/meta-data,preview,Meta data,meta data,https://academy-preview.bricksbuilder.io/builder/elements/single/meta-data/,meta-data,meta-data,meta-data,builder/elements,
new:builder/elements/single/post-content,preview,Post content,post content,https://academy-preview.bricksbuilder.io/builder/elements/single/post-content/,post-content,post-content,post-content,builder/elements,
new:builder/elements/single/post-navigation,preview,Post navigation,post navigation,https://academy-preview.bricksbuilder.io/builder/elements/single/post-navigation/,post-navigation,post-navigation,post-navigation,builder/elements,
new:builder/elements/single/post-reading-progress-bar,preview,Post reading progress bar,post reading progress bar,https://academy-preview.bricksbuilder.io/builder/elements/single/post-reading-progress-bar/,post-reading-progress-bar,post-reading-progress-bar,post-reading-progress-bar,builder/elements,
new:builder/elements/single/post-reading-time,preview,Post reading time,post reading time,https://academy-preview.bricksbuilder.io/builder/elements/single/post-reading-time/,post-reading-time,post-reading-time,post-reading-time,builder/elements,
new:builder/elements/single/post-title,preview,Post title,post title,https://academy-preview.bricksbuilder.io/builder/elements/single/post-title/,post-title,post-title,post-title,builder/elements,
new:builder/elements/single/post-toc,preview,Post table of contents,post table of contents,https://academy-preview.bricksbuilder.io/builder/elements/single/post-toc/,post-toc,post-toc,post-toc,builder/elements,
new:builder/elements/single/related-posts,preview,Related posts,related posts,https://academy-preview.bricksbuilder.io/builder/elements/single/related-posts/,related-posts,related-posts,related-posts,builder/elements,
new:builder/elements/single/social-sharing,preview,Social sharing,social sharing,https://academy-preview.bricksbuilder.io/builder/elements/single/social-sharing/,social-sharing,social-sharing,social-sharing,builder/elements,
new:builder/elements/single/taxonomy,preview,Taxonomy,taxonomy,https://academy-preview.bricksbuilder.io/builder/elements/single/taxonomy/,taxonomy,taxonomy,taxonomy,builder/elements,
new:builder/elements/woocommerce/account-add-payment-method,preview,Account - Add payment method,account add payment method,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/account-add-payment-method/,account-add-payment-method,account-add-payment-method,account-add-payment-method,builder/elements,
new:builder/elements/woocommerce/account-addresses,preview,Account - Addresses,account addresses,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/account-addresses/,account-addresses,account-addresses,account-addresses,builder/elements,
new:builder/elements/woocommerce/account-downloads,preview,Account - Downloads,account downloads,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/account-downloads/,account-downloads,account-downloads,account-downloads,builder/elements,
new:builder/elements/woocommerce/account-form-edit-account,preview,Account - Edit account,account edit account,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/account-form-edit-account/,account-form-edit-account,account-form-edit-account,account-form-edit-account,builder/elements,
new:builder/elements/woocommerce/account-form-edit-address,preview,Account - Edit address,account edit address,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/account-form-edit-address/,account-form-edit-address,account-form-edit-address,account-form-edit-address,builder/elements,
new:builder/elements/woocommerce/account-form-login,preview,Account - Login form,account login form,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/account-form-login/,account-form-login,account-form-login,account-form-login,builder/elements,
new:builder/elements/woocommerce/account-form-lost-password,preview,Account - Lost password,account lost password,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/account-form-lost-password/,account-form-lost-password,account-form-lost-password,account-form-lost-password,builder/elements,
new:builder/elements/woocommerce/account-form-register,preview,Account - Register form,account register form,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/account-form-register/,account-form-register,account-form-register,account-form-register,builder/elements,
new:builder/elements/woocommerce/account-form-reset-password,preview,Account - Reset password,account reset password,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/account-form-reset-password/,account-form-reset-password,account-form-reset-password,account-form-reset-password,builder/elements,
new:builder/elements/woocommerce/account-orders,preview,Account - Orders,account orders,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/account-orders/,account-orders,account-orders,account-orders,builder/elements,
new:builder/elements/woocommerce/account-page,preview,Account - Page,account page,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/account-page/,account-page,account-page,account-page,builder/elements,
new:builder/elements/woocommerce/account-payment-methods,preview,Account - Payment methods,account payment methods,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/account-payment-methods/,account-payment-methods,account-payment-methods,account-payment-methods,builder/elements,
new:builder/elements/woocommerce/account-view-order,preview,Account - View order,account view order,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/account-view-order/,account-view-order,account-view-order,account-view-order,builder/elements,
new:builder/elements/woocommerce/breadcrumbs,preview,WooCommerce Breadcrumbs,woocommerce breadcrumbs,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/breadcrumbs/,breadcrumbs,breadcrumbs,breadcrumbs,builder/elements,
new:builder/elements/woocommerce/cart-collaterals,preview,Cart totals,cart totals,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/cart-collaterals/,cart-collaterals,cart-collaterals,cart-collaterals,builder/elements,
new:builder/elements/woocommerce/cart-coupon,preview,Cart coupon,cart coupon,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/cart-coupon/,cart-coupon,cart-coupon,cart-coupon,builder/elements,
new:builder/elements/woocommerce/cart-items,preview,Cart items,cart items,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/cart-items/,cart-items,cart-items,cart-items,builder/elements,
new:builder/elements/woocommerce/checkout-coupon,preview,Checkout coupon,checkout coupon,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/checkout-coupon/,checkout-coupon,checkout-coupon,checkout-coupon,builder/elements,
new:builder/elements/woocommerce/checkout-customer-details,preview,Checkout customer details,checkout customer details,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/checkout-customer-details/,checkout-customer-details,checkout-customer-details,checkout-customer-details,builder/elements,
new:builder/elements/woocommerce/checkout-login,preview,Checkout login,checkout login,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/checkout-login/,checkout-login,checkout-login,checkout-login,builder/elements,
new:builder/elements/woocommerce/checkout-order-payment,preview,Checkout order payment,checkout order payment,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/checkout-order-payment/,checkout-order-payment,checkout-order-payment,checkout-order-payment,builder/elements,
new:builder/elements/woocommerce/checkout-order-review,preview,Checkout order review,checkout order review,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/checkout-order-review/,checkout-order-review,checkout-order-review,checkout-order-review,builder/elements,
new:builder/elements/woocommerce/checkout-order-table,preview,Checkout order table,checkout order table,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/checkout-order-table/,checkout-order-table,checkout-order-table,checkout-order-table,builder/elements,
new:builder/elements/woocommerce/checkout-thankyou,preview,Checkout thank you,checkout thank you,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/checkout-thankyou/,checkout-thankyou,checkout-thankyou,checkout-thankyou,builder/elements,
new:builder/elements/woocommerce/mini-cart,preview,Mini cart,mini cart,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/mini-cart/,mini-cart,mini-cart,mini-cart,builder/elements,
new:builder/elements/woocommerce/notice,preview,Notice,notice,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/notice/,notice,notice,notice,builder/elements,
new:builder/elements/woocommerce/products-archive-description,preview,Products archive description,products archive description,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/products-archive-description/,products-archive-description,products-archive-description,products-archive-description,builder/elements,
new:builder/elements/woocommerce/products-filter,preview,Products filter,products filter,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/products-filter/,products-filter,products-filter,products-filter,builder/elements,
new:builder/elements/woocommerce/products-orderby,preview,Products orderby,products orderby,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/products-orderby/,products-orderby,products-orderby,products-orderby,builder/elements,
new:builder/elements/woocommerce/products-pagination,preview,Products pagination,products pagination,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/products-pagination/,products-pagination,products-pagination,products-pagination,builder/elements,
new:builder/elements/woocommerce/products-total-results,preview,Products total results,products total results,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/products-total-results/,products-total-results,products-total-results,products-total-results,builder/elements,
new:builder/elements/woocommerce/products,preview,Products,products,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/products/,products,products,products,builder/elements,
new:builder/elements/woocommerce/template-hook,preview,WooCommerce Template Hook,woocommerce template hook,https://academy-preview.bricksbuilder.io/builder/elements/woocommerce/template-hook/,template-hook,template-hook,template-hook,builder/elements,
new:builder/elements/wordpress/nav-menu,preview,Nav menu,nav menu,https://academy-preview.bricksbuilder.io/builder/elements/wordpress/nav-menu/,nav-menu,nav-menu,nav-menu,builder/elements,
new:builder/elements/wordpress/pagination,preview,Pagination,pagination,https://academy-preview.bricksbuilder.io/builder/elements/wordpress/pagination/,pagination,pagination,pagination,builder/elements,
new:builder/elements/wordpress/posts,preview,Posts,posts,https://academy-preview.bricksbuilder.io/builder/elements/wordpress/posts/,posts,posts,posts,builder/elements,
new:builder/elements/wordpress/search,preview,Search,search,https://academy-preview.bricksbuilder.io/builder/elements/wordpress/search/,search,search,search,builder/elements,
new:builder/elements/wordpress/shortcode,preview,Shortcode,shortcode,https://academy-preview.bricksbuilder.io/builder/elements/wordpress/shortcode/,shortcode,shortcode,shortcode,builder/elements,
new:builder/elements/wordpress/sidebar,preview,Sidebar,sidebar,https://academy-preview.bricksbuilder.io/builder/elements/wordpress/sidebar/,sidebar,sidebar,sidebar,builder/elements,
new:builder/elements/wordpress/wordpress,preview,WordPress,wordpress,https://academy-preview.bricksbuilder.io/builder/elements/wordpress/wordpress/,wordpress,wordpress,wordpress,builder/elements,
new:builder/features/accessibility,preview,Accessibility,accessibility,https://academy-preview.bricksbuilder.io/builder/features/accessibility/,accessibility,accessibility,accessibility,builder/features,
new:builder/features/add-custom-animation-to-interaction,preview,How to add a custom animation in interaction,how to add a custom animation in interaction,https://academy-preview.bricksbuilder.io/builder/features/add-custom-animation-to-interaction/,add-custom-animation-to-interaction,add-custom-animation-to-interaction,add-custom-animation-to-interaction,builder/features,
new:builder/features/an-intro-to-templates,preview,An Intro To Templates,an intro to templates,https://academy-preview.bricksbuilder.io/builder/features/an-intro-to-templates/,an-intro-to-templates,an-intro-to-templates,an-intro-to-templates,builder/features,
new:builder/features/bricks-rce,preview,Steps to identify and repair a compromised Bricks site,steps to identify and repair a compromised bricks site,https://academy-preview.bricksbuilder.io/builder/features/bricks-rce/,bricks-rce,bricks-rce,bricks-rce,builder/features,
new:builder/features/code-review,preview,Code review,code review,https://academy-preview.bricksbuilder.io/builder/features/code-review/,code-review,code-review,code-review,builder/features,
new:builder/features/code-signatures,preview,Code signatures,code signatures,https://academy-preview.bricksbuilder.io/builder/features/code-signatures/,code-signatures,code-signatures,code-signatures,builder/features,
new:builder/features/color-manager,preview,Color Manager,color manager,https://academy-preview.bricksbuilder.io/builder/features/color-manager/,color-manager,color-manager,color-manager,builder/features,
new:builder/features/components,preview,Components,components,https://academy-preview.bricksbuilder.io/builder/features/components/,components,components,components,builder/features,
new:builder/features/create-template,preview,Creating Your First Template,creating your first template,https://academy-preview.bricksbuilder.io/builder/features/create-template/,create-template,create-template,create-template,builder/features,
new:builder/features/create-update-posts-on-the-frontend,preview,Create & Update Posts on the Frontend,create and update posts on the frontend,https://academy-preview.bricksbuilder.io/builder/features/create-update-posts-on-the-frontend/,create-update-posts-on-the-frontend,create-update-posts-on-the-frontend,create-update-posts-on-the-frontend,builder/features,
new:builder/features/custom-attributes,preview,Custom Attributes,custom attributes,https://academy-preview.bricksbuilder.io/builder/features/custom-attributes/,custom-attributes,custom-attributes,custom-attributes,builder/features,
new:builder/features/custom-authentication-pages,preview,Custom Authentication Pages,custom authentication pages,https://academy-preview.bricksbuilder.io/builder/features/custom-authentication-pages/,custom-authentication-pages,custom-authentication-pages,custom-authentication-pages,builder/features,
new:builder/features/custom-code,preview,Custom Code,custom code,https://academy-preview.bricksbuilder.io/builder/features/custom-code/,custom-code,custom-code,custom-code,builder/features,
new:builder/features/element-conditions,preview,Element Conditions,element conditions,https://academy-preview.bricksbuilder.io/builder/features/element-conditions/,element-conditions,element-conditions,element-conditions,builder/features,
new:builder/features/global-elements,preview,Global Elements,global elements,https://academy-preview.bricksbuilder.io/builder/features/global-elements/,global-elements,global-elements,global-elements,builder/features,
new:builder/features/icon-manager,preview,Icon Manager,icon manager,https://academy-preview.bricksbuilder.io/builder/features/icon-manager/,icon-manager,icon-manager,icon-manager,builder/features,
new:builder/features/interactions,preview,Interactions,interactions,https://academy-preview.bricksbuilder.io/builder/features/interactions/,interactions,interactions,interactions,builder/features,
new:builder/features/maintenance-mode,preview,Maintenance Mode,maintenance mode,https://academy-preview.bricksbuilder.io/builder/features/maintenance-mode/,maintenance-mode,maintenance-mode,maintenance-mode,builder/features,
new:builder/features/menu-builder,preview,Menu Builder,menu builder,https://academy-preview.bricksbuilder.io/builder/features/menu-builder/,menu-builder,menu-builder,menu-builder,builder/features,
new:builder/features/nestable-slider-instance,preview,Nestable Slider: Customization via JavaScript,nestable slider customization via javascript,https://academy-preview.bricksbuilder.io/builder/features/nestable-slider-instance/,nestable-slider-instance,nestable-slider-instance,nestable-slider-instance,builder/features,
new:builder/features/password-protection,preview,Password Protection,password protection,https://academy-preview.bricksbuilder.io/builder/features/password-protection/,password-protection,password-protection,password-protection,builder/features,
new:builder/features/popup-builder,preview,Popup Builder,popup builder,https://academy-preview.bricksbuilder.io/builder/features/popup-builder/,popup-builder,popup-builder,popup-builder,builder/features,
new:builder/features/remote-templates,preview,Remote Templates,remote templates,https://academy-preview.bricksbuilder.io/builder/features/remote-templates/,remote-templates,remote-templates,remote-templates,builder/features,
new:builder/features/save-form-submissions,preview,Save Form Submissions,save form submissions,https://academy-preview.bricksbuilder.io/builder/features/save-form-submissions/,save-form-submissions,save-form-submissions,save-form-submissions,builder/features,
